特征,系列,IC,RIC,ICIR,RICIR,IC均值,RIC均值,Fitness,有效样本
D8,D,0.024785862632004264,0.02283102075841237,0.0,0.0,0.0,0.0,0.0,9021
M17,M,0.024590782713954488,0.024706751984794818,-0.036169923955669994,-0.01971330404570898,-0.007785677304902603,-0.004232619916843577,0.0,8015
M12,M,-0.024582352964385084,-0.02565978612549198,-0.2472064894525808,-0.23350003702374808,-0.05543220322410923,-0.05157202661481116,0.0,8015
E19,E,0.0235029621534936,0.03500529088711695,0.6331290454238095,0.6377824799257042,0.13880688615355707,0.13584687080382293,6.570411721370335,8015
P5,P,-0.02303635466312294,-0.04131418151802428,-0.7283018890408639,-0.6943631656824228,-0.1395603694981762,-0.13932306533700972,0.0,7447
P7,P,-0.022678892398346254,-0.018243507680965488,-0.2769920509139404,-0.24302536613811593,-0.05693447559704199,-0.05055530784719719,0.0,7405
P12,P,-0.022374485748958395,-0.004359763552650689,0.1820110587439789,0.15533699550547028,0.04283422487094013,0.03483180665831687,0.3844620250841021,8015
S6,S,0.02202860329296826,0.02376229435360833,0.016789438084946217,0.031023999430744423,0.003696840074766188,0.006722759228653948,0.9219857848376715,8015
M8,M,-0.02181115378282957,-0.01956516704884855,0.0,0.0,0.0,0.0,0.0,8015
P10,P,-0.019877903776901344,-0.016823831233344445,-1.8716370259618564,-1.78408404269288,-0.3071787547937721,-0.30189737726005855,0.0,8015
S3,S,-0.018133138145288254,-0.02738628361049452,-0.7299650613671269,-0.6249778940154346,-0.14428411588771478,-0.12582128309455193,0.0,3288
M3,M,0.017106574829850344,0.020504184654155464,0.06675860016552462,0.10576719492363307,0.01527338796766021,0.023584304403620734,1.1407252611568448,7003
D4,D,0.01694320578447629,0.01577621489734782,0.0,0.0,0.0,0.0,0.0,9021
V9,V,0.016662490479061667,0.03281546944786421,1.2471529601000695,1.151465593431077,0.24593305021488215,0.22667917834020404,5.867377330137012,4482
