feature,gain,split,category
S11_roll60_std,0.0,0.0,other
S11_roll60_mean,0.0,0.0,other
S11_roll20_std,0.0,0.0,other
E8_roll60_mean,0.0,0.0,other
S11_roll20_mean,0.0,0.0,other
S11_roll10_max,0.0,0.0,other
S11_roll10_std,0.0,0.0,other
S11_roll10_mean,0.0,0.0,other
S11_roll6_max,0.0,0.0,other
S11_roll6_std,0.0,0.0,other
S11_roll6_mean,0.0,0.0,other
S11_roll3_max,0.0,0.0,other
S11_roll3_std,0.0,0.0,other
S11_roll3_mean,0.0,0.0,other
E8_roll60_max,0.0,0.0,other
E8_roll60_std,0.0,0.0,other
lagged_forward_returns_roll20_mean,0.0,0.0,other
lagged_forward_returns_roll20_std,0.0,0.0,other
lagged_forward_returns_roll20_max,0.0,0.0,other
S5_pct7,0.0,0.0,other
M4_pct7,0.0,0.0,other
M4_pct3,0.0,0.0,other
M4_pct1,0.0,0.0,other
M7_pct7,0.0,0.0,other
M7_pct3,0.0,0.0,other
M7_pct1,0.0,0.0,other
M11_pct7,0.0,0.0,other
M11_pct3,0.0,0.0,other
M11_pct1,0.0,0.0,other
V3_pct7,0.0,0.0,other
V3_pct3,0.0,0.0,other
V3_pct1,0.0,0.0,other
S5_pct3,0.0,0.0,other
S7_pct3,0.0,0.0,other
S5_pct1,0.0,0.0,other
M8_pct7,0.0,0.0,other
M8_pct3,0.0,0.0,other
M8_pct1,0.0,0.0,other
P3_pct7,0.0,0.0,other
P3_pct3,0.0,0.0,other
P3_pct1,0.0,0.0,other
D6_pct7,0.0,0.0,other
D6_pct3,0.0,0.0,other
D6_pct1,0.0,0.0,other
V7_pct7,0.0,0.0,other
V7_pct3,0.0,0.0,other
S7_pct1,0.0,0.0,other
S7_pct7,0.0,0.0,other
lagged_forward_returns_roll60_std,0.0,0.0,other
S6_pct1,0.0,0.0,other
P2_pct1,0.0,0.0,other
P5_pct7,0.0,0.0,other
P5_pct3,0.0,0.0,other
P5_pct1,0.0,0.0,other
P8_pct7,0.0,0.0,other
P8_pct3,0.0,0.0,other
P8_pct1,0.0,0.0,other
M12_pct7,0.0,0.0,other
M12_pct3,0.0,0.0,other
M12_pct1,0.0,0.0,other
S6_pct7,0.0,0.0,other
S6_pct3,0.0,0.0,other
P7_pct7,0.0,0.0,other
S2_pct1,0.0,0.0,other
P7_pct3,0.0,0.0,other
P7_pct1,0.0,0.0,other
V5_pct7,0.0,0.0,other
V5_pct3,0.0,0.0,other
V5_pct1,0.0,0.0,other
P12_pct7,0.0,0.0,other
P12_pct3,0.0,0.0,other
P12_pct1,0.0,0.0,other
V13_pct7,0.0,0.0,other
V13_pct3,0.0,0.0,other
S2_pct7,0.0,0.0,other
S2_pct3,0.0,0.0,other
V7_pct1,0.0,0.0,other
P11_pct7,0.0,0.0,other
P11_pct3,0.0,0.0,other
lagged_risk_free_rate_roll60_mean,0.0,0.0,other
lagged_market_forward_excess_returns_roll20_mean,0.0,0.0,other
lagged_market_forward_excess_returns_roll10_max,0.0,0.0,other
lagged_market_forward_excess_returns_roll10_std,0.0,0.0,other
lagged_market_forward_excess_returns_roll10_mean,0.0,0.0,other
lagged_market_forward_excess_returns_roll6_max,0.0,0.0,other
lagged_market_forward_excess_returns_roll6_std,0.0,0.0,other
lagged_market_forward_excess_returns_roll6_mean,0.0,0.0,other
lagged_market_forward_excess_returns_roll3_max,0.0,0.0,other
lagged_market_forward_excess_returns_roll3_std,0.0,0.0,other
lagged_market_forward_excess_returns_roll3_mean,0.0,0.0,other
lagged_risk_free_rate_roll60_max,0.0,0.0,other
lagged_risk_free_rate_roll60_std,0.0,0.0,other
lagged_risk_free_rate_roll20_max,0.0,0.0,other
P11_pct1,0.0,0.0,other
lagged_risk_free_rate_roll20_std,0.0,0.0,other
lagged_risk_free_rate_roll20_mean,0.0,0.0,other
lagged_risk_free_rate_roll10_max,0.0,0.0,other
lagged_risk_free_rate_roll10_std,0.0,0.0,other
lagged_risk_free_rate_roll10_mean,0.0,0.0,other
lagged_risk_free_rate_roll6_max,0.0,0.0,other
lagged_risk_free_rate_roll6_std,0.0,0.0,other
lagged_risk_free_rate_roll6_mean,0.0,0.0,other
lagged_risk_free_rate_roll3_max,0.0,0.0,other
lagged_risk_free_rate_roll3_std,0.0,0.0,other
lagged_risk_free_rate_roll3_mean,0.0,0.0,other
lagged_forward_returns_roll60_max,0.0,0.0,other
lagged_market_forward_excess_returns_roll20_std,0.0,0.0,other
lagged_market_forward_excess_returns_roll20_max,0.0,0.0,other
lagged_market_forward_excess_returns_roll60_mean,0.0,0.0,other
lagged_market_forward_excess_returns_roll60_std,0.0,0.0,other
D9_pct7,0.0,0.0,other
D9_pct3,0.0,0.0,other
D9_pct1,0.0,0.0,other
D8_pct7,0.0,0.0,other
D8_pct3,0.0,0.0,other
D8_pct1,0.0,0.0,other
D7_pct7,0.0,0.0,other
D7_pct3,0.0,0.0,other
D7_pct1,0.0,0.0,other
D5_pct7,0.0,0.0,other
D5_pct3,0.0,0.0,other
D5_pct1,0.0,0.0,other
D4_pct7,0.0,0.0,other
D4_pct3,0.0,0.0,other
D4_pct1,0.0,0.0,other
D3_pct7,0.0,0.0,other
D3_pct3,0.0,0.0,other
D3_pct1,0.0,0.0,other
D2_pct7,0.0,0.0,other
D2_pct3,0.0,0.0,other
D2_pct1,0.0,0.0,other
D1_pct7,0.0,0.0,other
D1_pct3,0.0,0.0,other
D1_pct1,0.0,0.0,other
lagged_market_forward_excess_returns_roll60_max,0.0,0.0,other
D1_x_D5,0.0,0.0,interaction
D1_x_D7,0.0,0.0,interaction
M13_roll20_max,0.0,0.0,other
P3_x_S2,0.0,0.0,interaction
M8_x_S7,0.0,0.0,interaction
M8_div_M4,0.0,0.0,other
M8_x_M4,0.0,0.0,interaction
M8_div_M7,0.0,0.0,other
M8_x_M7,0.0,0.0,interaction
M8_div_M11,0.0,0.0,other
M8_x_M11,0.0,0.0,interaction
M8_div_V3,0.0,0.0,other
M8_x_V3,0.0,0.0,interaction
M8_div_S5,0.0,0.0,other
M8_x_S5,0.0,0.0,interaction
P3_div_S2,0.0,0.0,other
P3_div_S7,0.0,0.0,other
M8_x_S2,0.0,0.0,interaction
P3_x_S7,0.0,0.0,interaction
P3_div_M4,0.0,0.0,other
P3_x_M4,0.0,0.0,interaction
P3_div_M7,0.0,0.0,other
P3_x_M7,0.0,0.0,interaction
P3_div_M11,0.0,0.0,other
P3_x_M11,0.0,0.0,interaction
P3_div_V3,0.0,0.0,other
P3_x_V3,0.0,0.0,interaction
P3_div_S5,0.0,0.0,other
P3_x_S5,0.0,0.0,interaction
P3_div_M8,0.0,0.0,other
M8_div_S7,0.0,0.0,other
M8_div_S2,0.0,0.0,other
D6_div_S2,0.0,0.0,other
V3_x_M7,0.0,0.0,interaction
M11_x_S7,0.0,0.0,interaction
M11_div_M4,0.0,0.0,other
M11_x_M4,0.0,0.0,interaction
M11_div_M7,0.0,0.0,other
M11_x_M7,0.0,0.0,interaction
V3_div_S2,0.0,0.0,other
V3_x_S2,0.0,0.0,interaction
V3_div_S7,0.0,0.0,other
V3_x_S7,0.0,0.0,interaction
V3_div_M4,0.0,0.0,other
V3_x_M4,0.0,0.0,interaction
V3_div_M7,0.0,0.0,other
V3_div_M11,0.0,0.0,other
S5_x_V3,0.0,0.0,interaction
V3_x_M11,0.0,0.0,interaction
S5_div_S2,0.0,0.0,other
