window_id,strategy1_fixed_ic,strategy2_dynamic_ic,strategy3_dynamic_fitness
309,-0.007438956441666443,1.8924639547071702,6.60186439766377
310,-0.018658386700465743,-1.8180979781869129,-1.993465011918148
311,-4.287869430176643,-0.03957128702966917,-0.03957128702966917
312,0.0,-5.394452871865371,-7.926878791665126
313,0.012614618342760769,0.0,0.012614618342760769
314,0.9001741126489942,0.9378271474261946,0.3938808075592211
315,-0.09143031934449145,-0.09143031934449145,-0.02874724895193764
316,5.045326073558081,-0.010205974232244786,-0.032810260253052295
317,1.161605581722718,0.1693489741970793,3.348281208407518
318,-0.18974313615082802,3.2836275411563545,4.063915150966447
319,1.8540269721040934,-0.26855678798230276,-0.03089577730402843
320,-0.16640184930842403,-2.3790603014180514,-0.030504125783291536
321,-0.07823544261815563,-0.3940136588462363,-0.04692962252840261
322,5.211177121888452,5.68640525095489,3.2599884193565964
323,1.555459249187015,1.555459249187015,2.1037460711614995
324,-0.03341751326773773,-0.1464781183860706,-0.03341751326773773
325,0.32110030696917674,2.543200374296622,0.0
326,3.2919508221659557,0.0,-0.01123350012240667
327,3.273285440397263,3.273285440397263,2.378609873757657
328,6.7089443441007015,-0.025431055147495208,3.0019151766975156
329,4.356128401194296,0.06209364113798649,0.2589492510331632
330,5.046807239867871,4.033678671693476,-0.03996978898621691
331,5.232076599187573,7.422366113501545,0.0
332,-5.071682035454966,-0.31560870103420613,5.269976467030401
333,-0.05347470235078652,0.8884828428391963,0.006043026353203854
334,0.0,0.7014757448143815,8.825017627573754
335,-0.013013655892029135,0.09759989377897396,-0.021991521092303696
336,7.488767798878294,4.528372457165397,0.0
337,-0.2926521216881517,-1.0664535598342078,1.2179875194525809
338,5.27159860918907,-0.24737128677322057,-0.09660385655803475
339,4.65346471590382,6.10772989606954,5.113584058362702
340,4.893629118202776,-0.3173796386110828,5.002056831944383
341,1.1998025489107478,1.1998025489107478,0.1303502660843572
342,-1.436674577278278,-0.25063307624178277,3.9386169863901115
343,0.13565265498213241,0.0,0.13565265498213241
344,5.91595465536096,5.392333415742501,4.585641314590981
345,-0.07821789039105728,-0.1384437338054634,7.59620756483213
346,0.4800566795472276,4.559358536861257,6.267908775009056
347,-1.9150594840056743,2.727232628395951,-2.351757827450589
348,-0.11765639888777801,5.261281683584813,-0.04175570596254791
349,5.268023371542071,8.712571070644637,-0.09364456862141751
350,0.0662447362616434,0.0,0.009047717252034248
351,-0.3090107029913685,-0.05728282849565632,0.12384805255700078
352,-0.2870991442948813,-0.03165794104185182,-0.10623537262462308
353,5.263005657677527,0.0,0.0
354,0.14630359173103227,0.12745941833072022,0.07363070369306227
355,1.4052792802162997,-0.259630430586825,1.2557618704751554
356,-0.07068683015490107,-4.485830520167539,-0.07068683015490107
357,5.280216400858126,5.262347285184882,5.2857376034100385
358,-0.8899439665969687,-0.8899439665969687,-0.26477102682898296
359,-0.02457357909350104,-0.04644834133745697,0.0
360,-0.014913297044011214,0.0,2.3117624341731213
361,5.276756040182596,5.632891587701387,0.0
362,-0.0911047313872391,1.9761898733648622,-0.5188883825527042
363,-3.6967263195908924,-0.17401698085189699,-0.17935324964719457
