feature,mean,std,sharpe,positive_ratio,min,recent,weighted_mean,weighted_mean_abs,stability_score
V12,-0.005422860545879978,0.028671990074755564,-0.18913436564387318,0.2,-0.07669476330960963,0.031655161775709054,-0.010829667995521491,0.027241415826516825,0.09955843196791325
M16,-0.006336411770346051,0.027539930775320853,-0.23008080598431238,0.15,-0.08378240307768597,-0.04008431155744354,-0.01477303721574224,0.02738934208614238,0.09935856949483238
E7,0.004042222274861863,0.02471812965223071,0.1635326255023027,0.15,-0.054694845928373925,-0.054694845928373925,0.00636735053941972,0.02221740944287759,0.08253245806328635
E18,0.01544760109999693,0.02900374135527205,0.5326070035140126,0.7,-0.03587799501025667,0.0022026831511064333,0.021155230258147178,0.029156814668431348,0.07859765831589341
M14,0.0026191588003121064,0.021324321302841415,0.12282489720852863,0.2,-0.035170300096773355,0.020366165520770398,0.007704834948400346,0.019936364785386528,0.07809317191761472
M2,0.01913228546279238,0.028348397964319726,0.6748980573044147,0.55,-0.02061694343047029,0.008656987618697426,0.021138124829424124,0.02583402063532816,0.0774721838459793
M6,-0.004158556358831653,0.021198307242424892,-0.1961738901854434,0.1,-0.041459135188867534,-0.03385189991213307,-0.00766632455161003,0.017867799909942104,0.07391300151116559
E11,0.01121819225136934,0.030414261126844595,0.368846328902086,0.6,-0.04785652967221535,0.005734650433212397,0.012654143041389761,0.022920818655013473,0.0624890133758896
M3,0.017935094438547624,0.06017034566320274,0.29807193660176173,0.55,-0.14357547614743932,0.0007355120138864222,0.03232252714014972,0.046729529679322146,0.06082118940246413
P6,-0.0276605620818782,0.06505138461302178,-0.4252109004953016,0.3,-0.1335466986422101,0.0049240639268533105,-0.020724597189604066,0.05979176819439796,0.054841789090117755
S3,0.014267203355792412,0.029923350601475836,0.4767914789319735,0.35,-0.00994232873479562,0.0012089354339724079,0.02000821118447114,0.022045519484182912,0.052587488999083394
I7,0.007173114696908084,0.031594201083707175,0.2270388925965994,0.55,-0.06767934393194919,0.003063336776233166,0.00883972830884535,0.024899429105882314,0.051732545469747315
I1,0.004140736379153504,0.029241654925190392,0.14160398834152715,0.5,-0.06384465493034752,-0.0017095676030813595,0.005556408235973599,0.020238102572964257,0.04289143828525021
E13,0.003272637818727028,0.02637766331043254,0.12406847943759614,0.5,-0.04527229905766781,0.004217252862649373,-0.0006183842718385057,0.022920535084561842,0.041679259534012705
S9,0.0033388209457229185,0.03083638872412099,0.1082753202017462,0.4,-0.09301740668354333,-0.00016250514093320984,0.0003448550613029852,0.019490906432266156,0.03563082533871101
V11,-0.008455018030599436,0.025257768908609673,-0.33474907121454595,0.1,-0.0933001077105189,-0.0022971761887190904,-0.015936876976015632,0.022106155671117247,0.031605601470383965
